t,regular,regular_dc_fast,regular_dc_slow,flag,pole,newspaper,door,football,dancing,snorkel,snorkel_flag,zomboni,dolphin,dolphin_flag,jack,balloon,digger,digger_flag,pogo,ladder,catapult,gargantuar
23,816.057,815.352,816.415,794.131,871.677,817.989,816.057,806.555,807.288,811.7,851.7,803.25,808.754,848.754,809.154,813.709,803.821,843.821,808.65,809.573,828.709,849.582
24,815.925,815.139,816.299,793.872,871.369,817.945,815.925,806.462,806.784,811.374,851.374,803,808.036,848.036,808.866,813.479,803.161,843.161,808.2,808.831,828.479,849.39
25,815.792,814.964,816.179,793.612,871.06,817.901,815.792,806.369,806.28,811.048,851.048,802.75,807.317,847.317,808.578,813.249,802.501,842.501,807.75,808.09,828.249,849.198
26,815.659,814.811,816.054,793.353,870.752,817.857,815.659,806.276,805.752,810.722,850.722,802.5,806.598,846.598,808.291,813.019,801.841,841.841,807.3,807.348,828.019,849.006
27,815.526,814.621,815.949,793.093,870.443,817.813,815.526,806.183,805.224,810.397,850.397,802.25,806.253,846.253,808.003,812.789,801.181,841.181,806.85,806.607,827.789,848.814
28,815.393,814.461,815.816,792.834,870.135,817.77,815.393,806.09,804.696,810.071,850.071,802,805.907,845.907,807.715,812.559,800.521,840.521,806.4,805.839,827.559,848.622
29,815.261,814.274,815.715,792.574,869.827,817.726,815.261,805.997,804.168,809.745,849.745,801.75,805.561,845.561,807.427,812.329,799.861,839.861,805.95,805.071,827.329,848.43
30,815.128,814.076,815.618,792.315,869.48,817.682,815.128,805.904,803.64,809.419,849.419,801.5,805.215,845.215,807.427,812.099,799.201,839.201,805.5,804.303,827.099,848.238
31,814.995,813.913,815.493,792.075,869.133,817.638,814.995,805.811,803.136,809.094,849.094,801.25,804.869,844.869,807.427,811.869,798.541,838.541,805.05,803.27,826.869,848.046
32,814.862,813.768,815.352,791.836,868.825,817.594,814.862,805.718,802.632,808.768,848.768,801,804.523,844.523,807.427,811.639,797.881,837.881,804.6,802.237,826.639,847.854
33,814.729,813.62,815.231,791.596,868.516,817.55,814.729,805.625,802.128,808.461,848.461,800.75,804.177,844.177,807.427,811.409,797.221,837.221,804.15,801.205,826.409,847.661
34,814.596,813.432,815.124,791.357,868.208,817.506,814.596,805.532,801.624,808.155,848.155,800.5,803.831,843.831,807.168,811.179,796.561,836.561,803.7,800.172,826.179,847.469
35,814.464,813.254,815.008,791.117,867.9,817.462,814.464,805.439,801.288,807.848,847.848,800.25,803.485,843.485,806.909,810.949,795.901,835.901,803.25,799.139,825.949,847.277
36,814.331,813.103,814.897,790.878,867.591,817.418,814.331,805.345,800.952,807.542,847.542,800,803.139,843.139,806.65,810.719,795.241,835.241,802.8,798.106,825.719,847.085
37,814.198,812.902,814.799,790.638,867.283,817.374,814.198,805.252,800.616,807.235,847.235,799.75,802.793,842.793,806.362,810.488,794.581,834.581,802.35,797.074,825.488,846.893
38,814.065,812.729,814.669,790.399,866.936,817.33,814.065,805.159,800.28,806.909,846.909,799.5,802.447,842.447,806.074,810.258,793.921,833.921,801.9,796.041,825.258,846.701
39,813.932,812.585,814.568,790.159,866.589,817.286,813.932,805.066,799.944,806.583,846.583,799.25,802.128,842.128,805.786,810.028,793.261,833.261,801.45,794.982,825.028,846.509
40,813.8,812.377,814.453,789.92,866.281,817.242,813.8,804.947,799.608,806.258,846.258,799,801.808,841.808,805.498,809.798,792.601,832.601,801,793.922,824.798,846.317
41,813.667,812.234,814.349,789.66,865.973,817.198,813.667,804.482,799.272,805.932,845.932,798.75,801.489,841.489,805.21,809.568,791.941,831.941,800.549,792.863,824.568,846.125
42,813.534,812.068,814.241,789.401,865.664,817.154,813.534,804.017,798.936,805.606,845.606,798.5,801.17,841.17,804.922,809.338,791.281,831.281,800.099,791.804,824.338,845.933
43,813.401,811.886,814.11,789.141,865.356,817.11,813.401,803.551,798.6,805.28,845.28,798.25,800.85,840.85,804.634,809.108,790.621,830.621,799.649,790.771,824.108,845.741
44,813.268,811.684,813.982,788.882,865.047,817.066,813.268,803.086,798.24,804.955,844.955,798,800.531,840.531,804.346,808.878,789.961,829.961,799.199,789.738,823.878,845.549
45,813.136,811.498,813.847,788.622,864.739,817.022,813.136,802.621,797.88,804.629,844.629,797.75,800.212,840.212,803.828,808.648,789.301,829.301,798.749,788.705,823.648,845.357
46,813.003,811.321,813.714,788.363,864.392,816.979,813.003,802.156,797.52,804.303,844.303,797.5,799.892,839.892,803.31,808.418,788.641,828.641,798.299,787.673,823.418,845.164
47,812.87,811.166,813.592,788.123,864.045,816.715,812.87,801.69,797.16,803.977,843.977,797.25,799.573,839.573,802.792,808.188,787.981,827.981,797.849,786.64,823.188,844.972
48,812.737,811.009,813.486,787.884,863.737,816.451,812.737,801.225,795.552,803.652,843.652,797,799.254,839.254,802.245,807.958,787.321,827.321,797.399,785.607,822.958,844.78
49,812.604,810.871,813.378,787.644,863.429,816.187,812.604,800.76,793.944,803.345,843.345,796.75,798.934,838.934,801.698,807.728,786.661,826.661,796.949,784.6,822.728,844.588
50,812.471,810.727,813.265,787.405,863.12,815.924,812.471,800.294,792.336,803.039,843.039,796.5,798.615,838.615,801.151,807.498,786.001,826.001,796.499,784.384,822.498,844.396
51,812.339,810.546,813.148,787.165,862.812,815.66,812.339,799.829,790.728,802.732,842.732,796.25,798.296,838.296,800.604,807.268,785.341,825.341,796.049,784.167,822.268,844.204
52,812.206,810.393,813.018,786.906,862.504,815.396,812.206,799.364,789.096,802.425,842.425,796,797.976,837.976,800.604,807.038,784.681,824.681,795.599,783.95,822.038,844.012
53,812.073,810.229,812.892,786.646,862.195,815.132,812.073,798.899,787.464,802.119,842.119,795.75,797.657,837.657,800.604,806.808,784.021,824.021,795.149,783.76,821.808,843.82
54,811.94,810.04,812.74,786.387,861.848,814.869,811.94,798.433,785.832,801.793,841.793,795.5,797.338,837.338,800.604,806.578,783.361,823.361,794.699,783.57,821.578,843.628
55,811.807,809.904,812.601,786.127,861.502,814.605,811.807,797.968,784.2,801.467,841.467,795.25,797.018,837.018,800.604,806.348,782.701,822.701,794.249,783.381,821.348,843.436
56,811.675,809.715,812.474,785.868,861.193,814.341,811.675,797.503,782.568,801.142,841.142,795,796.699,836.699,800.604,806.118,782.042,822.042,793.799,783.191,821.118,843.244
57,811.542,809.544,812.347,785.608,860.885,814.077,811.542,797.038,780.936,800.816,840.816,794.75,796.38,836.38,800.604,805.888,781.382,821.382,793.349,782.974,820.888,843.052
58,811.409,809.385,812.228,785.349,860.577,813.814,811.409,796.572,779.304,800.49,840.49,794.5,796.06,836.06,800.604,805.658,780.722,820.722,792.899,782.757,820.658,842.859
59,811.277,809.208,812.126,785.089,860.268,813.55,811.277,796.107,777.672,800.164,840.164,794.25,795.741,835.741,800.187,805.428,780.062,820.062,792.449,782.54,820.428,842.667
60,811.144,809.05,811.994,784.829,859.96,813.286,811.144,795.642,776.04,799.839,839.839,794,795.422,835.422,799.732,805.198,779.402,819.402,791.999,782.323,820.198,842.475
61,811.022,808.832,811.857,784.57,859.651,813.023,811.022,795.177,776.04,799.513,839.513,793.75,795.102,835.102,799.277,804.967,778.742,818.742,791.549,782.134,819.967,842.283
62,810.899,808.609,811.732,784.31,859.305,812.759,810.899,794.711,776.04,799.187,839.187,793.5,794.81,834.81,798.823,804.737,778.082,818.082,791.099,781.944,819.737,842.091
63,810.777,808.451,811.632,784.051,858.958,812.495,810.777,794.246,776.04,798.861,838.861,793.25,794.517,834.517,798.368,804.507,777.422,817.422,790.649,781.754,819.507,841.899
64,810.654,808.305,811.495,783.792,858.649,812.231,810.654,793.781,776.04,798.536,838.536,793,794.224,834.224,797.913,804.277,776.762,816.762,790.199,781.564,819.277,841.707
65,810.532,808.146,811.399,783.532,858.341,811.968,810.532,793.315,776.04,798.229,838.229,792.75,793.931,833.931,797.458,804.047,776.102,816.102,789.749,781.348,819.047,841.515
66,810.41,807.965,811.293,783.273,858.033,811.704,810.41,792.85,776.04,797.922,837.922,792.5,793.612,833.612,797.297,803.817,775.442,815.442,789.299,781.131,818.817,841.323
67,810.287,807.793,811.186,783.013,857.724,811.44,810.287,792.757,776.04,797.616,837.616,792.25,793.293,833.293,797.297,803.587,774.782,814.782,788.849,780.914,818.587,841.131
68,810.165,807.603,811.081,782.754,857.416,811.176,810.165,792.664,776.04,797.309,837.309,792,792.973,832.973,797.297,803.357,774.122,814.122,788.399,780.914,818.357,840.939
69,810.042,807.391,810.93,782.494,857.108,810.913,810.042,792.571,776.04,797.003,837.003,791.75,792.654,832.654,797.297,803.127,773.462,813.462,787.949,780.914,818.127,840.747
70,809.92,807.218,810.787,782.235,856.761,810.658,809.92,792.478,775.392,796.677,836.677,791.5,792.335,832.335,797.124,802.897,772.802,812.802,787.499,780.914,817.897,840.555
71,809.797,806.996,810.681,781.975,856.414,810.403,809.797,792.416,774.744,796.351,836.351,791.25,792.015,832.015,796.95,802.667,772.142,812.142,787.049,780.914,817.667,840.362
72,809.675,806.802,810.564,781.736,856.106,810.148,809.675,792.354,774.096,796.026,836.026,791,791.696,831.696,796.776,802.437,771.482,811.482,786.599,780.914,817.437,840.175
73,809.552,806.66,810.447,781.496,855.797,809.893,809.552,792.292,773.448,795.7,835.7,790.75,791.377,831.377,796.602,802.207,770.822,810.822,786.149,780.914,817.207,839.987
74,809.43,806.502,810.313,781.257,855.489,809.638,809.43,792.199,772.704,795.374,835.374,790.5,791.004,831.004,796.428,801.977,770.162,810.162,785.699,780.914,816.977,839.799
75,809.308,806.297,810.214,781.017,855.181,809.383,809.308,792.106,771.96,795.048,835.048,790.25,790.632,830.632,796.255,801.747,769.502,809.502,785.249,780.914,816.747,839.611
76,809.185,806.152,810.096,780.778,854.872,809.128,809.185,792.013,771.216,794.723,834.723,790,790.259,830.259,796.081,801.517,768.842,808.842,784.799,780.914,816.517,839.423
77,809.063,805.967,809.972,780.518,854.564,808.873,809.063,791.919,770.472,794.397,834.397,789.75,789.887,829.887,795.878,801.287,768.182,808.182,784.349,780.914,816.287,839.236
78,808.94,805.816,809.872,780.258,854.217,808.618,808.94,791.826,769.752,794.071,834.071,789.5,789.514,829.514,795.675,801.057,767.522,807.522,783.899,780.914,816.057,839.048
79,808.818,805.609,809.736,779.999,853.87,808.363,808.818,791.733,769.032,793.745,833.745,789.25,789.141,829.141,795.472,800.827,766.862,806.862,783.449,780.914,815.827,838.86
80,808.695,805.458,809.618,779.739,853.562,808.108,808.695,791.64,768.312,793.42,833.42,789,788.769,828.769,795.269,800.597,766.202,806.202,782.999,780.914,815.597,838.672
81,808.563,805.251,809.502,779.48,853.253,807.853,808.563,791.547,767.592,793.113,833.113,788.75,788.396,828.396,795.043,800.367,765.542,805.542,782.549,780.914,815.367,838.484
82,808.43,805.106,809.4,779.46,852.945,807.59,808.43,791.454,766.872,792.806,832.806,788.5,788.024,828.024,794.213,800.137,764.882,804.882,782.099,780.914,815.137,838.297
83,808.298,804.899,809.295,779.44,852.637,807.326,808.298,791.361,766.152,792.5,832.5,788.25,787.651,827.651,793.198,799.907,764.222,804.222,781.649,780.643,814.907,838.109
84,808.165,804.739,809.2,779.42,852.328,807.062,808.165,791.268,765.432,792.193,832.193,788,787.279,827.279,792.182,799.677,763.562,803.562,781.199,780.511,814.677,837.921
85,808.032,804.513,809.052,779.4,852.02,806.798,808.032,791.175,764.712,791.887,831.887,787.75,786.906,826.906,791.167,799.446,762.902,802.902,780.749,780.245,814.446,837.733
86,807.9,804.33,808.947,779.38,851.673,806.535,807.9,791.082,763.992,791.561,831.561,787.5,786.534,826.534,790.152,799.216,762.242,802.242,780.299,779.978,814.216,837.545
87,807.767,804.16,808.8,779.36,851.326,806.271,807.767,790.989,763.224,791.235,831.235,787.25,786.161,826.161,789.137,798.986,761.582,801.582,779.849,779.712,813.986,837.358
88,807.634,804.016,808.675,779.34,851.018,806.007,807.634,790.896,762.456,790.909,830.909,787,785.788,825.788,788.122,798.756,760.922,800.922,779.399,779.445,813.756,837.17
89,807.502,803.788,808.576,779.32,850.71,805.743,807.502,790.803,761.688,790.584,830.584,786.75,785.416,825.416,787.518,798.526,760.262,800.262,778.949,779.232,813.526,836.982
90,807.369,803.599,808.448,779.3,850.401,805.48,807.369,790.709,760.92,790.258,830.258,786.5,785.043,825.043,787.233,798.296,759.602,799.602,778.499,779.019,813.296,836.794
91,807.247,803.417,808.323,779.28,850.093,805.216,807.247,790.399,760.152,789.932,829.932,786.25,784.671,824.671,786.949,798.066,758.942,798.942,778.049,778.805,813.066,836.606
92,807.124,803.231,808.172,779.26,849.785,804.952,807.124,790.089,759.384,789.606,829.606,786,784.298,824.298,786.664,797.836,758.282,798.282,777.599,778.539,812.836,836.419
93,807.002,803.051,808.038,779.26,849.476,804.768,807.002,789.779,758.616,789.281,829.281,785.75,783.766,823.766,786.379,797.606,757.622,797.622,777.149,778.272,812.606,836.231
94,806.879,802.903,807.939,779.26,849.129,804.583,806.879,789.469,757.848,788.955,828.955,785.5,783.234,823.234,786.095,797.376,756.963,796.963,776.699,778.006,812.376,836.043
95,806.757,802.698,807.82,779.26,848.782,804.399,806.757,789.159,757.08,788.629,828.629,785.25,782.701,822.701,785.939,797.146,756.303,796.303,776.249,777.739,812.146,835.855
96,806.635,802.528,807.685,779.26,848.474,804.214,806.635,788.848,756.336,788.303,828.303,785,782.169,822.169,785.939,796.916,755.643,795.643,775.799,777.499,811.916,835.663
97,806.512,802.341,807.576,779.26,848.166,804.029,806.512,788.104,755.592,787.997,827.997,784.75,781.61,821.61,785.939,796.686,754.983,794.983,775.349,777.26,811.686,835.471
98,806.39,802.183,807.433,779.24,847.857,803.845,806.39,787.359,754.848,787.69,827.69,784.5,781.051,821.051,785.939,796.456,754.323,794.323,774.899,777.02,811.456,835.279
99,806.267,802.025,807.321,779.22,847.549,803.66,806.267,786.615,754.104,787.384,827.384,784.25,780.492,820.492,785.678,796.226,753.663,793.663,774.449,776.78,811.226,835.087
100,806.145,801.863,807.169,779.201,847.241,803.476,806.145,785.87,752.712,787.077,827.077,784,779.933,819.933,785.525,795.996,753.003,793.003,773.999,776.54,810.996,834.895
101,806.012,801.7,807.068,779.181,846.932,803.291,806.012,785.126,751.32,786.771,826.771,783.75,779.401,819.401,785.269,795.766,752.343,792.343,773.549,776.3,810.766,834.703
102,805.88,801.51,806.931,779.161,846.586,803.107,805.88,784.381,749.928,786.445,826.445,783.5,778.869,818.869,785.013,795.536,751.683,791.683,773.099,776.06,810.536,834.511
103,805.747,801.349,806.824,779.161,846.239,802.922,805.747,783.637,748.536,786.119,826.119,783.25,778.337,818.337,784.757,795.306,751.023,791.023,772.649,775.82,810.306,834.319
104,805.614,801.179,806.687,779.161,845.93,802.737,805.614,782.892,747.144,785.793,825.793,783,777.804,817.804,784.472,795.076,750.363,790.363,772.199,775.234,810.076,834.126
105,805.482,801.009,806.58,779.161,845.622,802.544,805.482,782.148,745.752,785.468,825.468,782.75,777.245,817.245,784.188,794.846,749.703,789.703,771.749,774.648,809.846,833.934
106,805.349,800.813,806.45,779.161,845.314,802.351,805.349,781.403,744.36,785.142,825.142,782.5,776.686,816.686,783.903,794.616,749.043,789.043,771.299,774.061,809.616,833.742
107,805.216,800.662,806.34,779.161,845.005,802.157,805.216,780.659,742.968,784.816,824.816,782.25,776.128,816.128,783.618,794.386,748.383,788.383,770.849,773.475,809.386,833.55
108,805.084,800.51,806.219,779.141,844.697,801.964,805.084,779.914,741.576,784.49,824.49,782,775.595,815.595,783.333,794.156,747.723,787.723,770.399,772.915,809.156,833.358
109,804.951,800.282,806.115,779.121,844.389,801.771,804.951,779.17,740.184,784.165,824.165,781.75,775.063,815.063,783.049,793.925,747.063,787.063,769.949,772.355,808.925,833.166
110,804.818,800.13,805.985,779.101,844.042,801.577,804.818,778.425,738.792,783.839,823.839,781.5,774.531,814.531,782.764,793.695,746.403,786.403,769.499,771.796,808.695,832.974
111,804.686,799.908,805.859,779.081,843.695,801.384,804.686,777.681,737.399,783.513,823.513,781.25,773.998,813.998,782.479,793.465,745.743,785.743,769.049,771.236,808.465,832.782
112,804.553,799.761,805.728,779.061,843.386,801.191,804.553,776.936,736.007,783.187,823.187,781,773.44,813.44,781.967,793.235,745.083,785.083,768.599,770.623,808.235,832.59
113,804.421,799.588,805.613,779.041,843.078,800.997,804.421,776.192,736.007,782.881,822.881,780.75,772.881,812.881,781.455,793.005,744.423,784.423,768.149,770.01,808.005,832.398
114,804.288,799.38,805.487,779.021,842.77,800.804,804.288,776.099,736.007,782.574,822.574,780.5,772.322,812.322,780.943,792.775,743.763,783.763,767.699,769.397,807.775,832.206
115,804.155,799.193,805.377,779.001,842.461,800.61,804.155,776.006,736.007,782.268,822.268,780.25,771.763,811.763,780.402,792.545,743.103,783.103,767.249,768.837,807.545,832.014
116,804.023,798.987,805.242,778.981,842.153,800.417,804.023,775.913,736.007,781.961,821.961,780,771.231,811.231,779.861,792.315,742.443,782.443,766.799,768.277,807.315,831.822
117,803.89,798.822,805.115,778.961,841.845,800.224,803.89,775.851,736.007,781.654,821.654,779.75,770.698,810.698,779.32,792.085,741.783,781.783,766.349,767.718,807.085,831.629
118,803.757,798.645,805.01,778.602,841.498,800.03,803.757,775.789,736.007,781.348,821.348,779.5,770.166,810.166,779.072,791.855,741.123,781.123,765.899,767.158,806.855,831.437
119,803.625,798.494,804.877,778.242,841.151,799.837,803.625,775.727,736.007,781.022,821.022,779.25,769.634,809.634,779.072,791.625,740.463,780.463,765.449,766.571,806.625,831.245
120,803.492,798.297,804.764,777.883,840.843,799.644,803.492,775.664,736.007,780.696,820.696,779,769.075,809.075,779.072,791.395,739.803,779.803,764.999,765.985,806.395,831.122
121,803.36,798.115,804.64,777.524,840.534,799.45,803.36,775.571,736.007,780.371,820.371,778.75,768.516,808.516,779.072,791.165,739.143,779.143,764.549,765.399,806.165,830.998
122,803.227,797.96,804.534,777.164,840.226,799.257,803.227,775.478,735.167,780.045,820.045,778.5,767.957,807.957,779.072,790.935,738.483,778.483,764.099,764.812,805.935,830.874
123,803.094,797.769,804.431,776.825,839.918,799.064,803.094,775.385,734.327,779.719,819.719,778.25,767.398,807.398,779.072,790.705,737.823,777.823,763.648,764.279,805.705,830.75
124,802.962,797.578,804.33,776.486,839.609,798.87,802.962,775.292,733.487,779.393,819.393,778,766.919,806.919,778.779,790.475,737.163,777.163,763.198,763.746,805.475,830.626
125,802.829,797.393,804.235,776.146,839.301,798.677,802.829,775.199,732.647,779.068,819.068,777.75,766.44,806.44,778.779,790.245,736.503,776.503,762.748,763.213,805.245,830.503
126,802.696,797.193,804.11,775.807,838.954,798.484,802.696,775.106,731.831,778.742,818.742,777.5,765.961,805.961,778.779,790.015,735.843,775.843,762.298,762.68,805.015,830.379
127,802.564,797.025,804.01,775.468,838.607,798.29,802.564,775.013,731.015,778.416,818.416,777.25,765.482,805.482,778.324,789.785,735.183,775.183,761.848,762.12,804.785,830.255
128,802.431,796.865,803.86,775.108,838.299,798.106,802.431,774.92,730.199,778.09,818.09,777,765.003,805.003,777.868,789.555,734.523,774.523,761.398,761.56,804.555,830.131
129,802.299,796.674,803.738,774.749,837.99,797.921,802.299,774.827,729.383,777.784,817.784,776.75,764.524,804.524,777.413,789.325,733.863,773.863,760.948,761.001,804.325,830.008
130,802.166,796.511,803.624,774.39,837.682,797.736,802.166,774.734,728.567,777.477,817.477,776.5,764.045,804.045,776.957,789.095,733.203,773.203,760.498,760.441,804.095,829.884
131,802.033,796.369,803.515,774.03,837.374,797.552,802.033,774.641,727.751,777.171,817.171,776.25,763.566,803.566,776.502,788.865,732.544,772.544,760.048,759.881,803.865,829.76
132,801.901,796.226,803.4,773.671,837.065,797.367,801.901,774.548,726.935,776.864,816.864,776,763.087,803.087,776.047,788.635,731.884,771.884,759.598,759.321,803.635,829.636
133,801.768,796.046,803.274,773.312,836.757,797.183,801.768,774.454,726.12,776.558,816.558,775.75,762.608,802.608,775.778,788.404,731.224,771.224,759.148,758.762,803.404,829.512
134,801.635,795.895,803.138,772.952,836.41,796.998,801.635,774.361,725.304,776.251,816.251,775.5,762.129,802.129,775.778,788.174,730.564,770.564,758.698,758.202,803.174,829.389
135,801.503,795.7,802.988,772.593,836.063,796.814,801.503,774.268,724.799,775.925,815.925,775.25,761.65,801.65,775.604,787.944,729.904,769.904,758.248,757.642,802.944,829.265
136,801.37,795.482,802.883,772.234,835.755,796.629,801.37,774.175,724.295,775.599,815.599,775,761.171,801.171,775.591,787.714,729.244,769.244,757.798,757.082,802.714,829.141
137,801.237,795.323,802.781,771.875,835.447,796.444,801.237,773.71,723.791,775.274,815.274,774.75,760.692,800.692,775.591,787.484,728.584,768.584,757.348,756.523,802.484,829.017
138,801.105,795.121,802.672,771.515,835.138,796.26,801.105,773.245,723.287,774.948,814.948,774.5,760.213,800.213,775.42,787.254,727.924,767.924,756.898,755.99,802.254,828.893
139,800.972,794.961,802.566,771.156,834.83,796.075,800.972,772.779,722.759,774.622,814.622,774.25,759.734,799.734,775.25,787.024,727.264,767.264,756.448,755.457,802.024,828.77
140,800.84,794.774,802.427,770.797,834.522,795.882,800.84,772.314,722.231,774.297,814.297,774,759.255,799.255,775.079,786.794,726.604,766.604,755.998,754.923,801.794,828.646
141,800.717,794.599,802.319,770.437,834.213,795.689,800.717,771.849,721.703,773.971,813.971,773.75,758.776,798.776,774.908,786.564,725.944,765.944,755.548,754.39,801.564,828.522
142,800.595,794.424,802.174,770.078,833.866,795.495,800.595,771.384,721.175,773.645,813.645,773.5,758.297,798.297,774.737,786.334,725.284,765.284,755.098,754.257,801.334,828.398
143,800.472,794.262,802.03,769.719,833.52,795.302,800.472,770.918,720.671,773.319,813.319,773.25,757.845,797.845,774.566,786.104,724.624,764.624,754.648,754.124,801.104,828.275
144,800.35,794.117,801.927,769.379,833.211,795.109,800.35,770.453,720.167,772.994,812.994,773,757.392,797.392,774.396,785.874,723.964,763.964,754.198,753.99,800.874,828.147
145,800.227,793.971,801.811,769.04,832.903,794.915,800.227,769.988,719.663,772.687,812.687,772.75,756.94,796.94,774.196,785.644,723.304,763.304,753.748,753.857,800.644,828.018
146,800.105,793.791,801.687,768.701,832.594,794.722,800.105,769.523,719.159,772.38,812.38,772.5,756.487,796.487,773.997,785.414,722.644,762.644,753.298,753.724,800.414,827.89
147,799.983,793.627,801.573,768.361,832.286,794.528,799.983,769.057,718.655,772.074,812.074,772.25,756.195,796.195,773.798,785.184,721.984,761.984,752.848,753.591,800.184,827.762
148,799.86,793.492,801.466,768.022,831.978,794.335,799.86,768.592,718.319,771.767,811.767,772,755.902,795.902,773.599,784.954,721.324,761.324,752.398,753.457,799.954,827.634
149,799.738,793.32,801.323,767.663,831.669,794.142,799.738,768.127,717.983,771.461,811.461,771.75,755.609,795.609,773.063,784.724,720.664,760.664,751.948,753.324,799.724,827.506
150,799.615,793.107,801.228,767.303,831.323,793.948,799.615,767.661,717.647,771.154,811.154,771.5,755.317,795.317,772.048,784.494,720.004,760.004,751.498,753.217,799.494,827.378
151,799.483,792.932,801.08,766.944,830.976,793.813,799.483,767.196,717.311,770.828,810.828,771.25,755.024,795.024,771.033,784.264,719.344,759.344,751.048,753.111,799.264,827.25
152,799.35,792.773,800.981,766.585,830.667,793.698,799.35,766.731,716.975,770.503,810.503,771,754.731,794.731,770.018,784.034,718.684,758.684,750.598,753.004,799.034,827.122
153,799.217,792.573,800.843,766.225,830.359,793.584,799.217,766.266,716.639,770.177,810.177,770.75,754.438,794.438,769.002,783.804,718.024,758.024,750.148,752.897,798.804,826.994
