t,regular,regular_dc_fast,regular_dc_slow,flag,pole,newspaper,door,football,dancing,snorkel,snorkel_flag,zomboni,dolphin,dolphin_flag,jack,balloon,digger,digger_flag,pogo,ladder,catapult,gargantuar
21,775.125,775.832,777.14,794.65,863.18,778.516,775.125,767.312,769.296,773.149,813.149,794.75,771.048,811.048,770.645,772.23,765.72,805.72,770.55,771.909,817.23,838.512
22,774.879,775.632,777.002,794.391,862.826,778.445,774.879,767.248,768.792,772.814,812.814,794.5,770.286,810.286,769.694,771.86,765.04,805.04,770.1,771.121,816.86,838.203
23,774.633,775.448,776.899,794.131,862.471,778.374,774.633,767.152,768.288,772.478,812.478,794.25,769.551,809.551,769.406,771.49,764.36,804.36,769.65,770.361,816.49,837.894
24,774.387,775.235,776.782,793.872,862.156,778.304,774.387,767.056,767.784,772.143,812.143,794,768.816,808.816,769.118,771.12,763.68,803.68,769.2,769.601,816.12,837.585
25,774.157,775.043,776.636,793.612,861.84,778.233,774.157,766.961,767.28,771.807,811.807,793.75,768.082,808.082,768.83,770.75,763,803,768.75,768.84,815.75,837.276
26,773.927,774.887,776.497,793.353,861.525,778.162,773.927,766.865,766.752,771.471,811.471,793.5,767.347,807.347,768.542,770.38,762.32,802.32,768.3,768.08,815.38,836.967
27,773.697,774.721,776.365,793.093,861.209,778.092,773.697,766.769,766.224,771.136,811.136,793.25,766.993,806.993,768.254,770.01,761.64,801.64,767.85,767.293,815.01,836.658
28,773.468,774.549,776.232,792.834,860.894,778.021,773.468,766.673,765.696,770.8,810.8,793,766.64,806.64,767.966,769.64,760.96,800.96,767.4,766.505,814.64,836.349
29,773.238,774.35,776.105,792.574,860.539,777.597,773.238,766.577,765.168,770.464,810.464,792.75,766.286,806.286,767.678,769.27,760.28,800.28,766.95,765.718,814.27,836.04
30,773.008,774.168,775.959,792.315,860.185,777.173,773.008,766.481,764.64,770.129,810.129,792.5,765.932,805.932,767.678,768.9,759.6,799.6,766.5,764.93,813.9,835.731
31,772.778,773.956,775.817,792.075,859.83,776.748,772.778,766.385,764.136,769.793,809.793,792.25,765.578,805.578,767.678,768.53,758.92,798.92,766.05,763.872,813.53,835.422
32,772.548,773.797,775.72,791.836,859.515,776.324,772.548,766.289,763.632,769.477,809.477,792,765.225,805.225,767.678,768.16,758.24,798.24,765.6,762.813,813.16,835.113
33,772.319,773.606,775.598,791.596,859.199,775.9,772.319,766.193,763.128,769.161,809.161,791.75,764.871,804.871,767.678,767.79,757.56,797.56,765.15,761.754,812.79,834.804
34,772.089,773.386,775.447,791.357,858.884,775.476,772.089,766.098,762.624,768.846,808.846,791.5,764.517,804.517,767.419,767.42,756.88,796.88,764.7,760.695,812.42,834.495
35,771.859,773.223,775.324,791.117,858.568,775.052,771.859,766.002,762.288,768.53,808.53,791.25,764.163,804.163,767.16,767.05,756.2,796.2,764.25,759.636,812.05,834.186
36,771.629,773.028,775.216,790.878,858.253,774.627,771.629,765.906,761.952,768.214,808.214,791,763.81,803.81,766.901,766.68,755.52,795.52,763.8,758.577,811.68,833.877
37,771.399,772.842,775.068,790.638,857.898,774.203,771.399,765.81,761.616,767.878,807.878,790.75,763.456,803.456,766.613,766.31,754.84,794.84,763.35,757.518,811.31,833.568
38,771.186,772.634,774.965,790.399,857.544,773.779,771.186,765.714,761.28,767.543,807.543,790.5,763.129,803.129,766.325,765.94,754.16,794.16,762.9,756.432,810.94,833.26
39,770.973,772.452,774.833,790.159,857.189,773.355,770.973,765.235,760.944,767.207,807.207,790.25,762.803,802.803,766.037,765.57,753.48,793.48,762.45,755.346,810.57,832.951
40,770.759,772.293,774.712,789.92,856.873,772.931,770.759,764.755,760.608,766.871,806.871,790,762.476,802.476,765.75,765.2,752.8,792.8,762,754.26,810.2,832.642
41,770.546,772.099,774.583,789.66,856.558,772.506,770.546,764.276,760.272,766.536,806.536,789.75,762.15,802.15,765.462,764.83,752.12,792.12,761.549,753.174,809.83,832.333
42,770.332,771.897,774.444,789.401,856.243,772.082,770.332,763.797,759.936,766.2,806.2,789.5,761.823,801.823,765.174,764.46,751.44,791.44,761.099,752.115,809.46,832.024
43,770.119,771.709,774.319,789.141,855.927,771.658,770.119,763.317,759.6,765.864,805.864,789.25,761.497,801.497,764.886,764.09,750.76,790.76,760.649,751.056,809.09,831.715
44,769.889,771.483,774.167,788.882,855.612,771.248,769.889,762.838,759.24,765.529,805.529,789,761.17,801.17,764.598,763.72,750.08,790.08,760.199,749.997,808.72,831.406
45,769.659,771.254,774.061,788.622,855.257,770.838,769.659,762.358,758.88,765.193,805.193,788.75,760.843,800.843,764.08,763.35,749.4,789.4,759.749,748.938,808.35,831.104
46,769.43,771.043,773.951,788.363,854.903,770.428,769.43,761.879,758.52,764.858,804.858,788.5,760.517,800.517,763.562,762.98,748.72,788.72,759.299,747.879,807.98,830.802
47,769.2,770.888,773.819,788.123,854.571,770.018,769.2,761.4,758.16,764.542,804.542,788.25,760.19,800.19,763.043,762.61,748.04,788.04,758.849,746.82,807.61,830.499
48,768.97,770.688,773.721,787.884,854.256,769.608,768.97,760.92,756.552,764.226,804.226,788,759.864,799.864,762.496,762.24,747.36,787.36,758.399,745.762,807.24,830.197
49,768.74,770.477,773.576,787.644,853.941,769.198,768.74,760.441,754.944,763.91,803.91,787.75,759.537,799.537,761.949,761.87,746.68,786.68,757.949,744.76,806.87,829.895
50,768.51,770.296,773.433,787.405,853.626,768.787,768.51,759.962,753.336,763.594,803.594,787.5,759.211,799.211,761.402,761.5,746,786,757.499,744.402,806.5,829.593
51,768.281,770.133,773.334,787.165,853.311,768.363,768.281,759.482,751.728,763.278,803.278,787.25,758.884,798.884,760.855,761.13,745.32,785.32,757.049,744.19,806.13,829.291
52,768.051,769.925,773.203,786.906,852.996,767.939,768.051,759.003,750.096,762.962,802.962,787,758.558,798.558,760.647,760.76,744.64,784.64,756.599,743.977,805.76,828.989
53,767.821,769.756,773.056,786.646,852.642,767.515,767.821,758.523,748.464,762.627,802.627,786.75,758.231,798.231,760.647,760.39,743.96,783.96,756.149,743.765,805.39,828.687
54,767.591,769.549,772.914,786.387,852.288,767.091,767.591,758.044,746.832,762.291,802.291,786.5,757.905,797.905,760.647,760.02,743.28,783.28,755.699,743.579,805.02,828.385
55,767.362,769.353,772.77,786.127,851.973,766.666,767.362,757.565,745.2,761.956,801.956,786.25,757.578,797.578,760.647,759.65,742.6,782.6,755.249,743.393,804.65,828.082
56,767.132,769.146,772.645,785.868,851.658,766.242,767.132,757.085,743.568,761.62,801.62,786,757.252,797.252,760.647,759.28,741.92,781.92,754.799,743.207,804.28,827.78
57,766.902,768.997,772.494,785.608,851.343,765.818,766.902,756.606,741.936,761.284,801.284,785.75,756.925,796.925,760.647,758.91,741.24,781.24,754.349,743.021,803.91,827.478
58,766.672,768.838,772.366,785.349,851.028,765.521,766.672,756.127,740.304,760.949,800.949,785.5,756.598,796.598,760.647,758.54,740.56,780.56,753.899,742.808,803.54,827.176
59,766.442,768.675,772.257,785.089,850.713,765.224,766.442,755.647,738.672,760.613,800.613,785.25,756.272,796.272,760.395,758.17,739.88,779.88,753.449,742.596,803.17,826.874
60,766.213,768.529,772.129,784.829,850.369,764.927,766.213,755.168,737.04,760.277,800.277,785,755.945,795.945,759.934,757.8,739.2,779.2,752.999,742.383,802.8,826.565
61,765.983,768.371,771.978,784.57,850.015,764.63,765.983,754.688,737.04,759.942,799.942,784.75,755.646,795.646,759.473,757.43,738.52,778.52,752.549,742.171,802.43,826.256
62,765.753,768.184,771.845,784.31,849.66,764.333,765.753,754.209,737.04,759.606,799.606,784.5,755.347,795.347,759.013,757.06,737.84,777.84,752.099,741.985,802.06,825.947
63,765.507,767.998,771.703,784.051,849.344,764.036,765.507,753.73,737.04,759.29,799.29,784.25,755.047,795.047,758.552,756.69,737.16,777.16,751.649,741.799,801.69,825.638
64,765.261,767.801,771.565,783.792,849.029,763.74,765.261,753.25,737.04,758.974,798.974,784,754.748,794.748,758.092,756.32,736.48,776.48,751.199,741.613,801.32,825.329
65,765.014,767.604,771.469,783.532,848.714,763.443,765.014,753.154,737.04,758.659,798.659,783.75,754.422,794.422,757.631,755.95,735.8,775.8,750.749,741.427,800.95,825.02
66,764.768,767.393,771.344,783.273,848.398,763.131,764.768,753.059,737.04,758.343,798.343,783.5,754.095,794.095,757.17,755.58,735.12,775.12,750.299,741.214,800.58,824.711
67,764.522,767.202,771.236,783.013,848.083,762.82,764.522,752.963,737.04,758.027,798.027,783.25,753.768,793.768,757.058,755.21,734.44,774.44,749.849,741.002,800.21,824.402
68,764.276,767.051,771.131,782.754,847.728,762.509,764.276,752.878,737.04,757.691,797.691,783,753.442,793.442,757.058,754.84,733.76,773.76,749.399,740.789,799.84,824.093
69,764.046,766.869,770.981,782.494,847.373,762.198,764.046,752.814,737.04,757.356,797.356,782.75,753.115,793.115,757.058,754.47,733.081,773.081,748.949,740.577,799.47,823.784
70,763.816,766.667,770.883,782.235,847.019,761.887,763.816,752.75,736.392,757.02,797.02,782.5,752.789,792.789,756.998,754.1,732.401,772.401,748.499,740.577,799.1,823.475
71,763.587,766.505,770.778,781.975,846.703,761.576,763.587,752.686,735.744,756.684,796.684,782.25,752.462,792.462,756.825,753.73,731.721,771.721,748.049,740.577,798.73,823.166
72,763.357,766.352,770.645,781.736,846.388,761.265,763.357,752.59,735.096,756.349,796.349,782,752.081,792.081,756.652,753.36,731.041,771.041,747.599,740.577,798.36,822.857
73,763.127,766.182,770.53,781.496,846.073,760.954,763.127,752.495,734.448,756.013,796.013,781.75,751.7,791.7,756.479,752.99,730.361,770.361,747.149,740.577,797.99,822.548
74,762.897,765.971,770.409,781.257,845.757,760.643,762.897,752.399,733.704,755.677,795.677,781.5,751.319,791.319,756.307,752.62,729.681,769.681,746.699,740.577,797.62,822.24
75,762.719,765.802,770.289,781.017,845.442,760.332,762.719,752.303,732.96,755.342,795.342,781.25,750.938,790.938,756.134,752.25,729.001,769.001,746.249,740.577,797.25,822.04
76,762.589,765.578,770.149,780.778,845.087,760.021,762.589,752.207,732.216,755.006,795.006,781,750.557,790.557,755.961,751.88,728.321,768.321,745.799,740.577,796.88,821.841
77,762.458,765.409,770.037,780.518,844.732,759.709,762.458,752.111,731.472,754.67,794.67,780.75,750.176,790.176,755.788,751.51,727.641,767.641,745.349,740.577,796.51,821.642
78,762.327,765.211,769.917,780.258,844.378,759.398,762.327,752.015,730.752,754.335,794.335,780.5,749.795,789.795,755.587,751.14,726.961,766.961,744.899,740.577,796.14,821.443
79,762.196,765.002,769.768,779.999,844.062,759.087,762.196,751.92,730.032,754.019,794.019,780.25,749.414,789.414,755.385,750.77,726.281,766.281,744.449,740.577,795.77,821.244
80,762.065,764.839,769.652,779.739,843.747,758.79,762.065,751.824,729.312,753.703,793.703,780,749.034,789.034,755.184,750.4,725.601,765.601,743.999,740.577,795.4,821.045
81,761.935,764.676,769.536,779.48,843.432,758.493,761.935,751.728,728.592,753.387,793.387,779.75,748.653,788.653,754.147,750.03,724.921,764.921,743.549,740.577,795.03,820.846
82,761.787,764.47,769.392,779.46,843.116,758.196,761.787,751.632,727.872,753.071,793.071,779.5,748.272,788.272,753.111,749.66,724.241,764.241,743.099,740.577,794.66,820.647
83,761.64,764.323,769.278,779.44,842.801,757.899,761.64,751.536,727.152,752.756,792.756,779.25,747.891,787.891,752.075,749.29,723.561,763.561,742.649,740.577,794.29,820.448
84,761.493,764.12,769.163,779.42,842.446,757.603,761.493,751.44,726.432,752.42,792.42,779,747.51,787.51,751.038,748.92,722.881,762.881,742.199,740.531,793.92,820.249
85,761.346,763.907,769.013,779.4,842.091,757.306,761.346,751.345,725.712,752.084,792.084,778.75,747.129,787.129,750.002,748.55,722.201,762.201,741.749,740.26,793.55,820.049
86,761.199,763.726,768.882,779.38,841.737,757.009,761.199,751.249,724.992,751.749,791.749,778.5,746.748,786.748,748.966,748.18,721.521,761.521,741.299,739.989,793.18,819.85
87,761.052,763.572,768.785,779.36,841.421,756.698,761.052,751.153,724.224,751.413,791.413,778.25,746.367,786.367,747.929,747.81,720.841,760.841,740.849,739.772,792.81,819.651
88,760.904,763.349,768.636,779.34,841.106,756.386,760.904,750.833,723.456,751.077,791.077,778,745.986,785.986,746.893,747.44,720.161,760.161,740.399,739.514,792.44,819.452
89,760.757,763.178,768.507,779.32,840.791,756.075,760.757,750.514,722.688,750.742,790.742,777.75,745.605,785.605,746.605,747.07,719.481,759.481,739.949,739.302,792.07,819.253
90,760.61,762.961,768.381,779.3,840.475,755.764,760.61,750.195,721.92,750.406,790.406,777.5,745.224,785.224,746.317,746.7,718.801,758.801,739.499,739.089,791.7,819.047
91,760.463,762.802,768.244,779.28,840.16,755.453,760.463,749.875,721.152,750.07,790.07,777.25,744.68,784.68,746.029,746.33,718.121,758.121,739.049,738.851,791.33,818.841
92,760.316,762.633,768.122,779.26,839.805,755.142,760.316,749.556,720.384,749.735,789.735,777,744.135,784.135,745.741,745.96,717.441,757.441,738.599,738.58,790.96,818.635
93,760.169,762.456,767.984,779.26,839.45,754.831,760.169,749.236,719.616,749.399,789.399,776.75,743.591,783.591,745.453,745.59,716.761,756.761,738.149,738.309,790.59,818.429
94,760.038,762.274,767.847,779.26,839.135,754.537,760.038,748.469,718.848,749.083,789.083,776.5,743.047,783.047,745.165,745.22,716.081,756.081,737.699,738.038,790.22,818.223
95,759.907,762.085,767.75,779.26,838.82,754.353,759.907,747.703,718.08,748.768,788.768,776.25,742.476,782.476,744.878,744.85,715.401,755.401,737.249,737.794,789.85,818.017
96,759.776,761.909,767.608,779.26,838.504,754.169,759.776,746.936,717.336,748.452,788.452,776,741.904,781.904,744.878,744.48,714.721,754.721,736.799,737.55,789.48,817.811
97,759.646,761.7,767.465,779.26,838.189,753.986,759.646,746.169,716.592,748.136,788.136,775.75,741.333,781.333,744.878,744.11,714.041,754.041,736.349,737.306,789.11,817.605
98,759.515,761.494,767.333,779.24,837.873,753.802,759.515,745.403,715.848,747.82,787.82,775.5,740.761,780.761,744.878,743.74,713.361,753.361,735.899,737.062,788.74,817.399
99,759.368,761.333,767.196,779.22,837.558,753.618,759.368,744.636,715.104,747.484,787.484,775.25,740.217,780.217,744.878,743.37,712.681,752.681,735.449,736.818,788.37,817.193
100,759.238,761.162,767.072,779.201,837.203,753.435,759.238,743.869,713.712,747.149,787.149,775,739.673,779.673,744.618,743,712.001,752.001,734.999,736.574,788,816.987
101,759.222,760.967,766.955,779.181,836.849,753.251,759.222,743.102,712.32,746.813,786.813,774.75,739.129,779.129,744.359,742.63,711.321,751.321,734.549,736.33,787.63,816.781
102,759.206,760.767,766.842,779.161,836.533,753.067,759.206,742.336,710.928,746.477,786.477,774.5,738.557,778.557,744.1,742.26,710.641,750.641,734.099,735.734,787.26,816.575
103,759.189,760.54,766.744,779.161,836.218,752.883,759.189,741.569,709.536,746.142,786.142,774.25,737.986,777.986,743.812,741.891,709.961,749.961,733.649,735.137,786.891,816.369
104,759.173,760.355,766.599,779.161,835.903,752.7,759.173,740.802,708.144,745.806,785.806,774,737.414,777.414,743.524,741.521,709.281,749.281,733.199,734.541,786.521,816.163
105,759.156,760.148,766.467,779.161,835.587,752.516,759.156,740.036,706.752,745.471,785.471,773.75,736.843,776.843,743.237,741.151,708.601,748.601,732.749,733.944,786.151,815.957
106,759.14,759.973,766.336,779.161,835.272,752.332,759.14,739.269,705.36,745.135,785.135,773.5,736.299,776.299,742.949,740.781,707.921,747.921,732.299,733.375,785.781,815.751
107,759.122,759.77,766.222,779.161,834.917,752.149,759.122,738.502,703.968,744.799,784.799,773.25,735.755,775.755,742.661,740.411,707.241,747.241,731.849,732.806,785.411,815.545
108,759.09,759.629,766.076,779.141,834.562,751.965,759.09,737.735,702.576,744.464,784.464,773,735.211,775.211,742.373,740.041,706.561,746.561,731.399,732.237,785.041,815.339
109,759.057,759.445,765.969,779.121,834.208,751.781,759.057,736.969,701.184,744.128,784.128,772.75,734.666,774.666,742.085,739.671,705.881,745.881,730.949,731.667,784.671,815.133
110,759.024,759.262,765.827,779.101,833.892,751.597,759.024,736.202,699.792,743.812,783.812,772.5,734.095,774.095,741.797,739.301,705.201,745.201,730.499,731.044,784.301,814.927
111,758.991,759.038,765.677,779.081,833.577,751.414,758.991,736.106,698.399,743.496,783.496,772.25,733.523,773.523,741.279,738.931,704.521,744.521,730.049,730.42,783.931,814.721
112,758.959,758.891,765.531,779.061,833.261,751.23,758.959,736.01,697.007,743.18,783.18,772,732.952,772.952,740.761,738.561,703.841,743.841,729.599,729.797,783.561,814.515
113,758.942,758.683,765.393,779.041,832.946,751.046,758.942,735.914,697.007,742.865,782.865,771.75,732.381,772.381,740.242,738.191,703.161,743.161,729.149,729.173,783.191,814.309
114,758.926,758.533,765.241,779.021,832.631,750.863,758.926,735.851,697.007,742.549,782.549,771.5,731.836,771.836,739.695,737.821,702.481,742.481,728.699,728.604,782.821,814.103
115,758.91,758.336,765.112,779.001,832.276,750.679,758.91,735.787,697.007,742.213,782.213,771.25,731.292,771.292,739.148,737.451,701.801,741.801,728.249,728.035,782.451,813.897
116,758.893,758.144,764.968,778.981,831.921,750.481,758.893,735.723,697.007,741.877,781.877,771,730.748,770.748,738.601,737.081,701.121,741.121,727.799,727.466,782.081,813.691
117,758.877,757.976,764.828,778.961,831.567,750.283,758.877,735.627,697.007,741.542,781.542,770.75,730.177,770.177,738.054,736.711,700.441,740.441,727.349,726.869,781.711,813.485
118,758.861,757.794,764.69,778.602,831.251,750.085,758.861,735.531,697.007,741.206,781.206,770.5,729.605,769.605,738.054,736.341,699.761,739.761,726.899,726.273,781.341,813.279
119,758.844,757.616,764.545,778.242,830.936,749.888,758.844,735.435,697.007,740.871,780.871,770.25,729.034,769.034,737.747,735.971,699.081,739.081,726.449,725.676,780.971,813.08
120,758.828,757.419,764.429,777.883,830.62,749.69,758.828,735.339,697.007,740.535,780.535,770,728.462,768.462,737.747,735.601,698.401,738.401,725.999,725.08,780.601,812.881
121,758.811,757.286,764.288,777.524,830.305,749.492,758.811,735.244,697.007,740.199,780.199,769.75,727.973,767.973,737.747,735.231,697.721,737.721,725.549,724.538,780.231,812.682
122,758.795,757.126,764.156,777.164,829.99,749.294,758.795,735.148,696.167,739.864,779.864,769.5,727.483,767.483,737.747,734.861,697.041,737.041,725.099,723.996,779.861,812.483
123,758.779,756.955,764.053,776.825,829.635,749.11,758.779,735.052,695.327,739.528,779.528,769.25,726.993,766.993,737.747,734.491,696.361,736.361,724.648,723.454,779.491,812.284
124,758.762,756.811,763.906,776.486,829.28,748.927,758.762,734.956,694.487,739.192,779.192,769,726.503,766.503,737.747,734.121,695.681,735.681,724.198,722.911,779.121,812.085
125,758.746,756.644,763.758,776.146,828.925,748.743,758.746,734.86,693.647,738.877,778.877,768.75,726.013,766.013,737.594,733.751,695.001,735.001,723.748,722.342,778.751,811.886
126,758.746,756.442,763.62,775.807,828.61,748.559,758.746,734.764,692.831,738.561,778.561,768.5,725.524,765.524,737.133,733.381,694.321,734.321,723.298,721.773,778.381,811.686
127,758.746,756.252,763.506,775.468,828.295,748.376,758.746,734.669,692.015,738.245,778.245,768.25,725.034,765.034,736.673,733.011,693.641,733.641,722.848,721.204,778.011,811.487
128,758.746,756.046,763.39,775.108,827.979,748.192,758.746,734.573,691.199,737.929,777.929,768,724.544,764.544,736.212,732.641,692.961,732.961,722.398,720.634,777.641,811.288
129,758.746,755.88,763.268,774.749,827.664,748.008,758.746,734.477,690.383,737.613,777.613,767.75,724.054,764.054,735.751,732.271,692.281,732.281,721.948,720.065,777.271,811.089
130,758.73,755.727,763.147,774.39,827.349,747.824,758.73,734.381,689.567,737.297,777.297,767.5,723.564,763.564,735.291,731.901,691.601,731.601,721.498,719.496,776.901,810.89
131,758.73,755.566,763.016,774.03,826.994,747.824,758.73,734.285,688.751,736.962,776.962,767.25,723.075,763.075,734.83,731.531,690.921,730.921,721.048,718.926,776.531,810.691
132,758.73,755.361,762.911,773.671,826.639,747.824,758.73,734.19,687.935,736.626,776.626,767,722.585,762.585,734.369,731.161,690.241,730.241,720.598,718.357,776.161,810.492
133,758.73,755.16,762.805,773.312,826.293,747.824,758.73,733.71,687.12,736.29,776.29,766.75,722.095,762.095,734.369,730.791,689.561,729.561,720.148,717.788,775.791,810.293
134,758.73,754.957,762.686,772.952,825.977,747.824,758.73,733.231,686.304,735.955,775.955,766.5,721.605,761.605,734.117,730.421,688.881,728.881,719.698,717.219,775.421,810.087
135,758.73,754.737,762.563,772.593,825.662,747.754,758.73,732.752,685.799,735.619,775.619,766.25,721.115,761.115,734.117,730.051,688.201,728.201,719.248,716.649,775.051,809.881
136,758.73,754.529,762.411,772.234,825.347,747.754,758.73,732.273,685.295,735.283,775.283,766,720.626,760.626,734.117,729.681,687.521,727.521,718.798,716.107,774.681,809.675
137,758.73,754.364,762.275,771.875,825.031,747.754,758.73,731.794,684.791,734.948,774.948,765.75,720.612,760.136,734.024,729.311,686.841,726.841,718.348,715.565,774.311,809.469
138,758.73,754.158,762.176,771.515,824.716,747.754,758.73,731.314,684.287,734.612,774.612,765.5,720.517,759.646,733.851,728.941,686.161,726.161,717.898,715.023,773.941,809.263
139,758.73,753.966,762.034,771.156,824.361,747.754,758.73,730.835,683.759,734.277,774.277,765.25,720.517,759.156,733.678,728.571,685.481,725.481,717.448,714.481,773.571,809.057
140,758.73,753.807,761.928,770.797,824.007,747.754,758.73,730.356,683.231,733.941,773.941,765,720.517,758.694,733.506,728.201,684.801,724.801,716.998,714.345,773.201,808.851
141,758.73,753.674,761.787,770.437,823.691,747.754,758.73,729.877,682.703,733.625,773.625,764.75,720.517,758.231,733.333,727.831,684.121,724.121,716.548,714.21,772.831,808.645
142,758.73,753.469,761.651,770.078,823.376,747.754,758.73,729.398,682.175,733.309,773.309,764.5,720.517,757.768,733.16,727.461,683.441,723.441,716.098,713.932,772.461,808.439
143,758.73,753.308,761.508,769.719,823.061,747.754,758.73,728.918,681.671,732.993,772.993,764.25,720.517,757.306,732.988,727.091,682.761,722.761,715.648,713.799,772.091,808.233
144,758.437,753.081,761.399,769.379,822.745,747.754,758.437,728.439,681.167,732.677,772.677,764,720.517,757.006,732.786,726.721,682.081,722.081,715.198,713.667,771.721,808.027
145,758.143,752.878,761.262,769.04,822.43,747.754,758.143,727.96,680.663,732.362,772.362,763.75,720.517,756.707,732.584,726.351,681.401,721.401,714.748,713.534,771.351,807.821
146,757.848,752.663,761.139,768.701,822.115,747.754,757.848,727.481,680.159,732.026,772.026,763.5,720.517,756.408,732.383,725.981,680.721,720.721,714.298,713.401,770.981,807.615
147,757.554,752.503,761.032,768.361,821.76,747.754,757.554,727.002,679.655,731.69,771.69,763.25,720.517,756.109,731.347,725.611,680.041,720.041,713.848,713.268,770.611,807.409
148,757.26,752.32,760.906,768.022,821.405,747.754,757.26,726.523,679.319,731.355,771.355,763,720.517,755.809,730.31,725.241,679.361,719.361,713.398,713.135,770.241,807.203
149,756.966,752.171,760.792,767.663,821.09,747.754,756.966,726.043,678.983,731.019,771.019,762.75,720.517,755.51,729.274,724.871,678.681,718.681,712.948,713.003,769.871,806.901
150,756.688,752.025,760.668,767.303,820.775,747.754,756.688,725.564,678.647,730.683,770.683,762.5,720.517,755.211,728.237,724.501,678.001,718.001,712.498,712.87,769.501,806.599
151,756.41,751.869,760.568,766.944,820.46,747.768,756.41,725.085,678.311,730.348,770.348,762.25,720.517,754.938,727.201,724.131,677.321,717.321,712.048,712.763,769.131,806.297
152,756.132,751.664,760.423,766.585,820.144,747.781,756.132,724.606,677.975,730.012,770.012,762,720.517,754.666,726.165,723.761,676.641,716.641,711.598,712.657,768.761,805.994
153,755.854,751.485,760.29,766.225,819.829,747.795,755.854,724.127,677.639,729.677,769.677,761.75,720.517,754.394,725.128,723.391,675.961,715.961,711.148,712.551,768.391,805.692
